game,game_seed,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,627259,vp-hybrid,B,2,600,ongoing,-,600,1,0,0
2,628256,vp-hybrid,B,2,600,draw,-,433,0,0,0
3,629253,vp-hybrid,B,2,600,resigned,W,67,0,0,1
4,630250,vp-hybrid,B,2,600,resigned,B,40,0,1,0
5,631247,vp-hybrid,B,2,600,resigned,W,55,0,0,1
6,632244,vp-hybrid,B,2,600,resigned,W,71,0,0,1
7,633241,vp-hybrid,B,2,600,resigned,B,40,0,1,0
8,634238,vp-hybrid,B,2,600,resigned,W,95,0,0,1
9,635235,vp-hybrid,B,2,600,resigned,W,55,0,0,1
10,636232,vp-hybrid,B,2,600,resigned,W,83,0,0,1
11,637229,vp-hybrid,B,2,600,resigned,B,40,0,1,0
12,638226,vp-hybrid,B,2,600,resigned,W,35,0,0,1
13,639223,vp-hybrid,B,2,600,resigned,W,53,0,0,1
14,640220,vp-hybrid,B,2,600,ongoing,-,600,1,0,0
15,641217,vp-hybrid,B,2,600,resigned,W,31,0,0,1
16,642214,vp-hybrid,B,2,600,resigned,W,35,0,0,1
17,643211,vp-hybrid,B,2,600,resigned,W,43,0,0,1
18,644208,vp-hybrid,B,2,600,draw,-,327,0,0,0
19,645205,vp-hybrid,B,2,600,resigned,W,29,0,0,1
20,646202,vp-hybrid,B,2,600,resigned,B,40,0,1,0
21,647199,vp-hybrid,W,2,600,resigned,W,581,0,1,0
22,648196,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
23,649193,vp-hybrid,W,2,600,resigned,W,105,0,1,0
24,650190,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
25,651187,vp-hybrid,W,2,600,resigned,W,135,0,1,0
26,652184,vp-hybrid,W,2,600,draw,-,270,0,0,0
27,653181,vp-hybrid,W,2,600,resigned,W,233,0,1,0
28,654178,vp-hybrid,W,2,600,resigned,W,213,0,1,0
29,655175,vp-hybrid,W,2,600,resigned,W,191,0,1,0
30,656172,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
31,657169,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
32,658166,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
33,659163,vp-hybrid,W,2,600,resigned,W,353,0,1,0
34,660160,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
35,661157,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
36,662154,vp-hybrid,W,2,600,resigned,W,95,0,1,0
37,663151,vp-hybrid,W,2,600,resigned,W,125,0,1,0
38,664148,vp-hybrid,W,2,600,ongoing,-,600,1,0,0
39,665145,vp-hybrid,W,2,600,resigned,W,537,0,1,0
40,666142,vp-hybrid,W,2,600,resigned,W,55,0,1,0
