game,game_seed,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,25677,vp-side-hybrid,B,2,1000,resigned,B,248,0,1,0
2,26674,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
3,27671,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
4,28668,vp-side-hybrid,B,2,1000,resigned,B,96,0,1,0
5,29665,vp-side-hybrid,B,2,1000,resigned,B,192,0,1,0
6,30662,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
7,31659,vp-side-hybrid,B,2,1000,resigned,W,155,0,0,1
8,32656,vp-side-hybrid,B,2,1000,draw,-,157,0,0,0
9,33653,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
10,34650,vp-side-hybrid,B,2,1000,resigned,B,198,0,1,0
11,35647,vp-side-hybrid,B,2,1000,resigned,B,876,0,1,0
12,36644,vp-side-hybrid,B,2,1000,resigned,W,263,0,0,1
13,37641,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
14,38638,vp-side-hybrid,B,2,1000,resigned,B,64,0,1,0
15,39635,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
16,40632,vp-side-hybrid,B,2,1000,resigned,B,264,0,1,0
17,41629,vp-side-hybrid,B,2,1000,resigned,W,115,0,0,1
18,42626,vp-side-hybrid,B,2,1000,resigned,B,176,0,1,0
19,43623,vp-side-hybrid,B,2,1000,resigned,W,53,0,0,1
20,44620,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
21,45617,vp-side-hybrid,B,2,1000,resigned,B,90,0,1,0
22,46614,vp-side-hybrid,B,2,1000,resigned,W,341,0,0,1
23,47611,vp-side-hybrid,B,2,1000,resigned,W,695,0,0,1
24,48608,vp-side-hybrid,B,2,1000,draw,-,229,0,0,0
25,49605,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
26,50602,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
27,51599,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
28,52596,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
29,53593,vp-side-hybrid,B,2,1000,resigned,B,316,0,1,0
30,54590,vp-side-hybrid,B,2,1000,resigned,W,139,0,0,1
31,55587,vp-side-hybrid,B,2,1000,resigned,B,286,0,1,0
32,56584,vp-side-hybrid,B,2,1000,draw,-,373,0,0,0
33,57581,vp-side-hybrid,B,2,1000,resigned,W,591,0,0,1
34,58578,vp-side-hybrid,B,2,1000,resigned,B,190,0,1,0
35,59575,vp-side-hybrid,B,2,1000,resigned,W,103,0,0,1
36,60572,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
37,61569,vp-side-hybrid,B,2,1000,resigned,W,237,0,0,1
38,62566,vp-side-hybrid,B,2,1000,resigned,B,784,0,1,0
39,63563,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
40,64560,vp-side-hybrid,B,2,1000,resigned,B,616,0,1,0
41,65557,vp-side-hybrid,B,2,1000,draw,-,995,0,0,0
42,66554,vp-side-hybrid,B,2,1000,resigned,B,442,0,1,0
43,67551,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
44,68548,vp-side-hybrid,B,2,1000,resigned,W,105,0,0,1
45,69545,vp-side-hybrid,B,2,1000,resigned,B,172,0,1,0
46,70542,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
47,71539,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
48,72536,vp-side-hybrid,B,2,1000,resigned,B,40,0,1,0
49,73533,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
50,74530,vp-side-hybrid,B,2,1000,ongoing,-,1000,1,0,0
51,75527,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
52,76524,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
53,77521,vp-side-hybrid,W,2,1000,resigned,B,110,0,0,1
54,78518,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
55,79515,vp-side-hybrid,W,2,1000,resigned,W,53,0,1,0
56,80512,vp-side-hybrid,W,2,1000,resigned,B,138,0,0,1
57,81509,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
58,82506,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
59,83503,vp-side-hybrid,W,2,1000,resigned,W,119,0,1,0
60,84500,vp-side-hybrid,W,2,1000,resigned,W,759,0,1,0
61,85497,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
62,86494,vp-side-hybrid,W,2,1000,resigned,B,138,0,0,1
63,87491,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
64,88488,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
65,89485,vp-side-hybrid,W,2,1000,draw,-,854,0,0,0
66,90482,vp-side-hybrid,W,2,1000,resigned,W,167,0,1,0
67,91479,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
68,92476,vp-side-hybrid,W,2,1000,resigned,W,181,0,1,0
69,93473,vp-side-hybrid,W,2,1000,resigned,B,244,0,0,1
70,94470,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
71,95467,vp-side-hybrid,W,2,1000,ongoing,-,1000,1,0,0
72,96464,vp-side-hybrid,W,2,1000,resigned,W,79,0,1,0
73,97461,vp-side-hybrid,W,2,1000,resigned,W,83,0,1,0
