game,game_seed,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,627259,vp-side-hybrid,B,2,600,resigned,W,37,0,0,1
2,628256,vp-side-hybrid,B,2,600,resigned,W,55,0,0,1
3,629253,vp-side-hybrid,B,2,600,resigned,W,515,0,0,1
4,630250,vp-side-hybrid,B,2,600,resigned,B,40,0,1,0
5,631247,vp-side-hybrid,B,2,600,resigned,B,240,0,1,0
6,632244,vp-side-hybrid,B,2,600,ongoing,-,600,1,0,0
7,633241,vp-side-hybrid,B,2,600,resigned,B,40,0,1,0
8,634238,vp-side-hybrid,B,2,600,resigned,W,91,0,0,1
9,635235,vp-side-hybrid,B,2,600,ongoing,-,600,1,0,0
10,636232,vp-side-hybrid,B,2,600,ongoing,-,600,1,0,0
11,637229,vp-side-hybrid,B,2,600,resigned,B,40,0,1,0
12,638226,vp-side-hybrid,B,2,600,ongoing,-,600,1,0,0
13,639223,vp-side-hybrid,B,2,600,resigned,B,478,0,1,0
14,640220,vp-side-hybrid,B,2,600,ongoing,-,600,1,0,0
15,641217,vp-side-hybrid,B,2,600,ongoing,-,600,1,0,0
16,642214,vp-side-hybrid,B,2,600,resigned,B,254,0,1,0
17,643211,vp-side-hybrid,B,2,600,draw,-,253,0,0,0
18,644208,vp-side-hybrid,B,2,600,ongoing,-,600,1,0,0
19,645205,vp-side-hybrid,B,2,600,resigned,B,276,0,1,0
20,646202,vp-side-hybrid,B,2,600,resigned,B,40,0,1,0
21,647199,vp-side-hybrid,W,2,600,resigned,W,581,0,1,0
22,648196,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
23,649193,vp-side-hybrid,W,2,600,resigned,W,105,0,1,0
24,650190,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
25,651187,vp-side-hybrid,W,2,600,resigned,W,135,0,1,0
26,652184,vp-side-hybrid,W,2,600,draw,-,270,0,0,0
27,653181,vp-side-hybrid,W,2,600,resigned,W,233,0,1,0
28,654178,vp-side-hybrid,W,2,600,resigned,W,213,0,1,0
29,655175,vp-side-hybrid,W,2,600,resigned,W,191,0,1,0
30,656172,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
31,657169,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
32,658166,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
33,659163,vp-side-hybrid,W,2,600,resigned,W,353,0,1,0
34,660160,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
35,661157,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
36,662154,vp-side-hybrid,W,2,600,resigned,W,95,0,1,0
37,663151,vp-side-hybrid,W,2,600,resigned,W,125,0,1,0
38,664148,vp-side-hybrid,W,2,600,ongoing,-,600,1,0,0
39,665145,vp-side-hybrid,W,2,600,resigned,W,537,0,1,0
40,666142,vp-side-hybrid,W,2,600,resigned,W,55,0,1,0
