model_player,original_player,status,winner,ply,timed_out
B,W,resigned,B,928,0
B,W,ongoing,-,1000,1
B,W,resigned,W,47,0
B,W,resigned,W,749,0
B,W,resigned,W,35,0
B,W,resigned,B,106,0
B,W,ongoing,-,1000,1
B,W,resigned,W,65,0
B,W,ongoing,-,1000,1
B,W,resigned,W,67,0
B,W,ongoing,-,1000,1
B,W,ongoing,-,1000,1
B,W,resigned,B,206,0
B,W,draw,-,725,0
B,W,resigned,W,73,0
B,W,resigned,W,265,0
B,W,resigned,W,285,0
B,W,resigned,W,43,0
B,W,draw,-,209,0
B,W,ongoing,-,1000,1
W,B,ongoing,-,1000,1
W,B,resigned,W,107,0
W,B,ongoing,-,1000,1
W,B,ongoing,-,1000,1
W,B,resigned,W,207,0
W,B,resigned,B,144,0
W,B,draw,-,172,0
W,B,resigned,W,357,0
W,B,resigned,W,85,0
W,B,draw,-,258,0
W,B,ongoing,-,1000,1
W,B,resigned,W,61,0
W,B,resigned,B,136,0
W,B,ongoing,-,1000,1
W,B,resigned,W,401,0
W,B,draw,-,100,0
W,B,draw,-,194,0
W,B,resigned,W,189,0
W,B,ongoing,-,1000,1
W,B,resigned,W,735,0
