model_player,original_player,status,winner,ply,timed_out
B,W,resigned,B,370,0
B,W,resigned,W,59,0
B,W,resigned,B,850,0
B,W,resigned,W,49,0
B,W,resigned,W,43,0
B,W,resigned,B,924,0
B,W,draw,-,59,0
B,W,resigned,B,118,0
B,W,resigned,W,49,0
B,W,resigned,B,134,0
B,W,resigned,W,57,0
B,W,resigned,W,35,0
B,W,resigned,B,250,0
B,W,resigned,B,216,0
B,W,resigned,W,93,0
B,W,resigned,B,70,0
B,W,resigned,B,132,0
B,W,resigned,W,55,0
B,W,resigned,W,57,0
B,W,resigned,W,57,0
B,W,resigned,B,302,0
B,W,resigned,W,51,0
B,W,resigned,B,62,0
B,W,draw,-,159,0
B,W,resigned,B,130,0
B,W,resigned,W,47,0
B,W,resigned,W,43,0
B,W,resigned,B,262,0
B,W,resigned,B,372,0
B,W,draw,-,919,0
B,W,resigned,W,43,0
B,W,resigned,B,446,0
B,W,ongoing,-,1000,1
B,W,resigned,B,986,0
B,W,ongoing,-,1000,1
B,W,resigned,W,43,0
B,W,draw,-,295,0
B,W,draw,-,63,0
B,W,resigned,W,45,0
B,W,draw,-,451,0
B,W,resigned,W,381,0
B,W,resigned,B,524,0
B,W,ongoing,-,1000,1
B,W,resigned,B,530,0
B,W,resigned,W,31,0
B,W,draw,-,705,0
B,W,resigned,W,47,0
B,W,resigned,W,81,0
B,W,resigned,W,113,0
B,W,resigned,B,156,0
W,B,resigned,W,131,0
W,B,resigned,W,113,0
W,B,ongoing,-,1000,1
W,B,draw,-,940,0
W,B,resigned,W,843,0
W,B,resigned,W,117,0
W,B,resigned,W,95,0
W,B,resigned,W,47,0
W,B,resigned,W,53,0
W,B,resigned,W,837,0
W,B,ongoing,-,1000,1
W,B,resigned,W,709,0
W,B,ongoing,-,1000,1
W,B,draw,-,528,0
W,B,ongoing,-,1000,1
W,B,ongoing,-,1000,1
W,B,resigned,W,851,0
W,B,resigned,W,625,0
W,B,draw,-,162,0
W,B,draw,-,414,0
W,B,resigned,W,137,0
W,B,resigned,W,133,0
W,B,resigned,W,591,0
W,B,resigned,W,873,0
W,B,draw,-,248,0
W,B,ongoing,-,1000,1
W,B,ongoing,-,1000,1
W,B,ongoing,-,1000,1
W,B,ongoing,-,1000,1
W,B,resigned,W,321,0
W,B,ongoing,-,1000,1
W,B,resigned,W,73,0
W,B,resigned,W,175,0
W,B,ongoing,-,1000,1
W,B,resigned,W,61,0
W,B,draw,-,532,0
W,B,resigned,W,53,0
W,B,resigned,W,121,0
W,B,resigned,W,101,0
W,B,ongoing,-,1000,1
W,B,ongoing,-,1000,1
W,B,resigned,W,167,0
W,B,resigned,W,367,0
W,B,ongoing,-,1000,1
W,B,resigned,W,103,0
W,B,resigned,W,55,0
W,B,resigned,W,173,0
W,B,resigned,W,143,0
W,B,draw,-,338,0
W,B,resigned,W,151,0
