game,new_player,old_player,status,winner,ply,timed_out,new_result
1,B,W,resigned,B,120,0,1
2,W,B,resigned,W,107,0,1
3,B,W,resigned,B,118,0,1
4,W,B,ongoing,-,1000,1,0
5,B,W,resigned,B,118,0,1
6,W,B,resigned,W,447,0,1
7,B,W,resigned,B,120,0,1
8,W,B,resigned,W,585,0,1
9,B,W,resigned,B,118,0,1
10,W,B,ongoing,-,1000,1,0
11,B,W,resigned,B,118,0,1
12,W,B,resigned,W,213,0,1
13,B,W,resigned,B,118,0,1
14,W,B,resigned,W,143,0,1
15,B,W,resigned,B,118,0,1
16,W,B,resigned,W,91,0,1
17,B,W,resigned,B,118,0,1
18,W,B,resigned,W,157,0,1
19,B,W,resigned,B,118,0,1
20,W,B,ongoing,-,1000,1,0
21,B,W,resigned,B,118,0,1
22,W,B,resigned,B,192,0,-1
23,B,W,resigned,B,118,0,1
24,W,B,ongoing,-,1000,1,0
25,B,W,resigned,B,118,0,1
26,W,B,resigned,B,104,0,-1
27,B,W,resigned,B,118,0,1
28,W,B,resigned,W,99,0,1
29,B,W,resigned,B,118,0,1
30,W,B,ongoing,-,1000,1,0
31,B,W,resigned,B,118,0,1
32,W,B,ongoing,-,1000,1,0
33,B,W,resigned,B,118,0,1
34,W,B,ongoing,-,1000,1,0
35,B,W,resigned,B,118,0,1
36,W,B,resigned,W,153,0,1
37,B,W,resigned,B,118,0,1
38,W,B,resigned,W,157,0,1
39,B,W,resigned,B,118,0,1
40,W,B,resigned,W,97,0,1
41,B,W,resigned,B,118,0,1
42,W,B,resigned,W,913,0,1
43,B,W,resigned,B,118,0,1
44,W,B,ongoing,-,1000,1,0
45,B,W,resigned,B,118,0,1
46,W,B,resigned,W,679,0,1
47,B,W,resigned,B,118,0,1
48,W,B,resigned,W,195,0,1
49,B,W,resigned,B,118,0,1
50,W,B,resigned,W,99,0,1
51,B,W,resigned,B,118,0,1
52,W,B,ongoing,-,1000,1,0
53,B,W,resigned,B,118,0,1
54,W,B,resigned,W,125,0,1
55,B,W,resigned,B,118,0,1
56,W,B,resigned,B,98,0,-1
57,B,W,resigned,B,118,0,1
58,W,B,resigned,W,373,0,1
59,B,W,resigned,B,118,0,1
60,W,B,resigned,W,305,0,1
61,B,W,resigned,B,118,0,1
62,W,B,resigned,W,611,0,1
63,B,W,resigned,B,118,0,1
64,W,B,resigned,W,115,0,1
65,B,W,resigned,B,118,0,1
66,W,B,ongoing,-,1000,1,0
67,B,W,resigned,B,118,0,1
68,W,B,resigned,B,154,0,-1
69,B,W,resigned,B,118,0,1
70,W,B,resigned,W,157,0,1
71,B,W,resigned,B,118,0,1
72,W,B,ongoing,-,1000,1,0
73,B,W,resigned,B,118,0,1
74,W,B,resigned,B,94,0,-1
75,B,W,resigned,B,118,0,1
76,W,B,resigned,W,137,0,1
77,B,W,resigned,B,118,0,1
78,W,B,resigned,B,112,0,-1
79,B,W,resigned,B,118,0,1
80,W,B,resigned,B,148,0,-1
81,B,W,resigned,B,118,0,1
82,W,B,resigned,B,98,0,-1
83,B,W,resigned,B,118,0,1
84,W,B,ongoing,-,1000,1,0
85,B,W,resigned,B,118,0,1
86,W,B,resigned,W,101,0,1
87,B,W,resigned,B,118,0,1
88,W,B,resigned,W,119,0,1
89,B,W,resigned,B,118,0,1
90,W,B,resigned,W,203,0,1
91,B,W,resigned,B,118,0,1
92,W,B,resigned,W,309,0,1
93,B,W,resigned,B,118,0,1
94,W,B,ongoing,-,1000,1,0
95,B,W,resigned,B,118,0,1
96,W,B,resigned,B,180,0,-1
97,B,W,resigned,B,118,0,1
98,W,B,ongoing,-,1000,1,0
99,B,W,resigned,B,118,0,1
100,W,B,resigned,W,147,0,1
