model_player,original_player,status,winner,ply,timed_out
B,W,resigned,B,526,0
B,W,resigned,B,224,0
B,W,draw,-,307,0
B,W,resigned,B,116,0
B,W,draw,-,197,0
B,W,ongoing,-,1000,1
B,W,draw,-,501,0
B,W,resigned,W,489,0
B,W,ongoing,-,1000,1
B,W,ongoing,-,1000,1
B,W,resigned,B,506,0
B,W,ongoing,-,1000,1
B,W,ongoing,-,1000,1
B,W,resigned,B,176,0
B,W,ongoing,-,1000,1
B,W,resigned,B,130,0
B,W,draw,-,569,0
B,W,ongoing,-,1000,1
B,W,resigned,B,68,0
B,W,resigned,B,100,0
W,B,draw,-,696,0
W,B,draw,-,272,0
W,B,draw,-,454,0
W,B,resigned,B,922,0
W,B,resigned,B,398,0
W,B,resigned,B,446,0
W,B,draw,-,624,0
W,B,resigned,B,484,0
W,B,draw,-,482,0
W,B,resigned,W,155,0
W,B,draw,-,364,0
W,B,draw,-,538,0
W,B,resigned,W,29,0
W,B,resigned,B,154,0
W,B,resigned,W,229,0
W,B,draw,-,346,0
W,B,draw,-,322,0
W,B,draw,-,216,0
W,B,resigned,B,54,0
W,B,resigned,B,448,0
