game,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
2,vp-hybrid,B,2,1000,resigned,W,105,0,0,1
3,vp-hybrid,B,2,1000,draw,-,211,0,0,0
4,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
5,vp-hybrid,B,2,1000,resigned,W,55,0,0,1
6,vp-hybrid,B,2,1000,resigned,W,81,0,0,1
7,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
8,vp-hybrid,B,2,1000,resigned,W,97,0,0,1
9,vp-hybrid,B,2,1000,resigned,W,55,0,0,1
10,vp-hybrid,B,2,1000,resigned,W,167,0,0,1
11,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
12,vp-hybrid,B,2,1000,resigned,W,35,0,0,1
13,vp-hybrid,B,2,1000,resigned,W,53,0,0,1
14,vp-hybrid,B,2,1000,resigned,B,110,0,1,0
15,vp-hybrid,B,2,1000,resigned,W,31,0,0,1
16,vp-hybrid,B,2,1000,resigned,W,35,0,0,1
17,vp-hybrid,B,2,1000,draw,-,211,0,0,0
18,vp-hybrid,B,2,1000,resigned,W,71,0,0,1
19,vp-hybrid,B,2,1000,resigned,W,29,0,0,1
20,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
21,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
22,vp-hybrid,W,2,1000,draw,-,330,0,0,0
23,vp-hybrid,W,2,1000,resigned,W,313,0,1,0
24,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
25,vp-hybrid,W,2,1000,resigned,W,141,0,1,0
26,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
27,vp-hybrid,W,2,1000,resigned,W,69,0,1,0
28,vp-hybrid,W,2,1000,resigned,W,711,0,1,0
29,vp-hybrid,W,2,1000,draw,-,956,0,0,0
30,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
31,vp-hybrid,W,2,1000,draw,-,820,0,0,0
32,vp-hybrid,W,2,1000,draw,-,318,0,0,0
33,vp-hybrid,W,2,1000,resigned,W,891,0,1,0
34,vp-hybrid,W,2,1000,resigned,W,161,0,1,0
35,vp-hybrid,W,2,1000,draw,-,240,0,0,0
36,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
37,vp-hybrid,W,2,1000,draw,-,177,0,0,0
38,vp-hybrid,W,2,1000,resigned,W,283,0,1,0
39,vp-hybrid,W,2,1000,resigned,W,79,0,1,0
40,vp-hybrid,W,2,1000,ongoing,-,1000,1,0,0
