sample,mode,current_player,target_avg,target_min,target_max,abs_error_avg,agreement_rate,black_samples,white_samples,resets,checksum
5000,rotating,mixed,-0.017055,-0.577233,1.000000,0.087637,0.013000,2501,2499,5,1.070760
10000,rotating,mixed,-0.016580,-0.474633,1.000000,0.079507,0.012800,2502,2498,9,1.293741
15000,rotating,mixed,-0.015586,-0.601100,1.000000,0.103299,0.015000,2502,2498,15,1.878719
20000,rotating,mixed,-0.016130,-0.503067,1.000000,0.062873,0.012400,2503,2497,10,2.140531
25000,rotating,mixed,-0.016762,-0.247533,0.187600,0.034808,0.012600,2500,2500,6,2.233519
30000,rotating,mixed,-0.015897,-0.446133,1.000000,0.057127,0.017000,2502,2498,8,2.462585
35000,rotating,mixed,-0.016552,-0.572600,1.000000,0.071386,0.021800,2500,2500,9,2.680149
40000,rotating,mixed,-0.016477,-0.417367,1.000000,0.057650,0.011200,2501,2499,6,2.809178
45000,rotating,mixed,-0.015061,-0.578433,1.000000,0.058424,0.019600,2503,2497,13,2.982522
50000,rotating,mixed,-0.016847,-0.500700,1.000000,0.040034,0.011400,2501,2499,6,3.027677
