game,mode,model_side,model_depth,max_ply,status,winner,ply,timed_out,model_win,model_loss
1,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
2,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
3,vp-hybrid,B,2,1000,resigned,B,162,0,1,0
4,vp-hybrid,B,2,1000,resigned,B,112,0,1,0
5,vp-hybrid,B,2,1000,resigned,W,463,0,0,1
6,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
7,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
8,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
9,vp-hybrid,B,2,1000,resigned,B,126,0,1,0
10,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
11,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
12,vp-hybrid,B,2,1000,draw,-,601,0,0,0
13,vp-hybrid,B,2,1000,resigned,W,75,0,0,1
14,vp-hybrid,B,2,1000,resigned,B,76,0,1,0
15,vp-hybrid,B,2,1000,resigned,W,49,0,0,1
16,vp-hybrid,B,2,1000,resigned,B,142,0,1,0
17,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
18,vp-hybrid,B,2,1000,resigned,W,201,0,0,1
19,vp-hybrid,B,2,1000,resigned,W,67,0,0,1
20,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
21,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
22,vp-hybrid,B,2,1000,resigned,B,84,0,1,0
23,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
24,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
25,vp-hybrid,B,2,1000,draw,-,225,0,0,0
26,vp-hybrid,B,2,1000,resigned,B,498,0,1,0
27,vp-hybrid,B,2,1000,draw,-,249,0,0,0
28,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
29,vp-hybrid,B,2,1000,resigned,W,53,0,0,1
30,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
31,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
32,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
33,vp-hybrid,B,2,1000,resigned,W,179,0,0,1
34,vp-hybrid,B,2,1000,ongoing,-,1000,1,0,0
35,vp-hybrid,B,2,1000,resigned,B,62,0,1,0
36,vp-hybrid,B,2,1000,resigned,B,40,0,1,0
37,vp-hybrid,B,2,1000,resigned,W,237,0,0,1
